Grade,Age,Gender,Programming,Programing Extent,Father Ed.,Mother Ed.,Computer Home,Internet Home,DBN1,DBN2,DBN3,DBN4,DBN5,DBN6,DBN_Total,DBN_POMP,Int1,Int2,Int3R,Int4R,Int5,Int6,Int7,Int_Mean,Val1,Val2,Val3,Val4,Val5,Val6,Val_Mean,Exp1,Exp2,Exp3,Exp4,Exp5,Exp_Mean
8,13,F,Y,A little bit,HS,OTC,Y,Y,,,,,,,0,0,1,1,1,1,1,1,1,1.0,2,1,1,1,1,1,1.2,3,2,3,4,2,2.8
8,13,M,Y,A lot,,College,Y,Y,,,,,,,0,0,7,7,7,7,7,7,7,7.0,6,7,7,7,6,6,6.5,7,7,7,7,6,6.8
8,13,M,Y,Some,College,College,Y,Y,,,,,,,0,0,4,4,6,6,4,4,3,4.4,5,5,7,7,4,4,5.3,7,7,7,7,7,7
8,13,M,Y,A little bit,College,College,Y,Y,,,,,,,0,0,5,5,5,5,4,4,1,4.1,4,2,3,2,1,1,2.2,7,7,7,7,7,7
8,14,M,Y,Some,College,College,Y,Y,,,,,,,0,0,4,4,4,4,3,3,2,3.4,1,1,1,1,1,1,7.0,7,7,7,7,7,7
8,13,M,Y,A little bit,College,College,Y,Y,,,,,,,0,0,7,3,,6,7,3,2,4.7,4,4,3,4,1,3,3.2,6,6,4,5,4,5
8,13,M,Y,Some,College,College,Y,Y,,,,,,,0,0,5,5,7,7,5,6,4,5.6,6,5,3,6,4,4,4.7,5,4,5,6,4,4.8
8,14,0,Y,3,,,Y,Y,0,0,0,1,0,0,1,17,7,7,1,1,7,7,6,5.1,7,7,7,7,6,7,6.8,,,,,,#DIV/0!
8,14,1,N,0,,,Y,Y,1,0,0,0,1,0,2,33,1,1,7,7,1,1,1,2.7,4,4,1,3,1,5,3.0,7,5,4,7,7,6
7,14,1,Y,1,,,Y,Y,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1
7,13,0,Y,1,,,Y,Y,0,0,0,0,0,0,0,0,1,1,7,7,1,1,1,2.7,1,1,1,1,1,1,1.0,1,1,1,1,1,1
8,14,0,N,2,,,Y,Y,0,0,1,0,0,0,1,17,2,2,6,5,3,2,2,3.1,2,2,3,3,2,2,2.3,6,5,4,2,1,3.6
7,13,0,N,1,,,Y,Y,0,0,0,0,0,0,0,0,2,2,6,5,3,2,2,3.1,2,2,2,2,2,2,2.0,2,2,2,2,2,2
7,13,0,Y,2,,,N,N,0,0,0,0,0,0,0,0,4,4,4,4,4,5,4,4.1,1,3,4,6,3,5,3.7,4,5,3,5,4,4.2
7,12,0,Y,1,,,Y,Y,1,1,0,0,1,0,3,50,4,3,6,6,2,4,4,4.1,4,4,3,3,4,3,3.5,2,2,2,3,4,2.6
7,13,0,Y,2,,,Y,Y,0,0,0,0,0,0,0,0,1,1,7,7,1,1,1,2.7,3,1,1,1,1,1,1.3,1,1,1,1,1,1
